cell,optn,beta,batch,arch,stationary,gbs,kspec,r1,step_top,u_rot,cv_lam,sg_mis
G_adam_b128_s0,Adam,0.9,128,mlp_s,True,1.3380780359953115,1.1805818333361582,-0.04688259145659762,1.729695646235189e-05,0.7893506065011024,0.1338380995479275,0.5213452279567719
G_adam_b2048_s0,Adam,0.9,2048,mlp_s,True,2.0540733698404683,1.9421235245087205,-0.9589469499704988,0.0002695812609808944,0.10661312937736511,0.06349965848149737,0.07580962777137756
G_adam_b32_s0,Adam,0.9,32,mlp_s,True,0.6002182427171625,0.6859135211877292,0.16971491409741926,1.4438000871465968e-05,0.9410431515425444,0.358265785089926,0.5866511911153793
G_adam_b512_s0,Adam,0.9,512,mlp_s,True,2.02224587737046,1.958593133587767,-0.9497290513488164,0.00010201042968660166,0.2631339728832245,0.0772573578909946,0.2502669095993042
G_adam_b8_s0,Adam,0.9,8,mlp_s,False,0.40612428742524714,0.3868383620649067,0.18786921762824307,0.00010119321617009936,0.9721692036837339,0.6044122594082884,0.6383967697620392
G_muon_b128_s0,Muon,0.95,128,mlp_s,True,0.5631093742094748,1.2670924340705385,-0.3611277036914669,0.0002271484709936578,0.06204661726951599,0.10205351790358806,0.7803280204534531
G_muon_b2048_s0,Muon,0.95,2048,mlp_s,False,2.0024925120185806,1.3331439731574297,-0.5991764997008433,0.0008370656121271038,1e-06,0.29029451587837196,0.7850874289870262
G_muon_b32_s0,Muon,0.95,32,mlp_s,False,0.24717552233659842,0.37535229155140676,0.23512488875541704,0.0020785502094233955,0.786552220582962,0.10653042357761094,0.8328738734126091
G_muon_b512_s0,Muon,0.95,512,mlp_s,False,1.5874449349533046,1.77919534401819,-0.8964228588846485,0.0010502094973457627,0.019950568675994873,0.18533601994708226,0.8147558569908142
G_muon_b8_s0,Muon,0.95,8,mlp_s,True,0.13247324566603266,0.1314546104867629,0.2589193823009944,0.0029582498129267394,0.8634546101093292,0.22145330287716414,0.8691811636090279
G_nest_b128_s0,SGD-Nesterov,0.9,128,mlp_s,True,1.754428020719026,2.220013555046944,-0.9454435900342576,0.08479460878326084,0.1291353702545166,0.11031740018898557,0.10709318518638611
G_nest_b2048_s0,SGD-Nesterov,0.9,2048,mlp_s,True,1.9998270827316333,2.003191197501397,-0.9996163647439678,0.9994028581169985,1e-06,0.002855599581874755,0.0001
G_nest_b32_s0,SGD-Nesterov,0.9,32,mlp_s,True,0.8497251433841131,1.472401575203785,-0.293255152593113,0.10719624685730947,0.8320347815752029,0.2025043826449898,0.24198675155639648
G_nest_b512_s0,SGD-Nesterov,0.9,512,mlp_s,True,1.9397665538205402,2.0707711616187248,-0.989130911835864,0.2250213480011909,0.03452292084693909,0.04980823813021595,0.044895321130752563
G_nest_b8_s0,SGD-Nesterov,0.9,8,mlp_s,True,0.4554932705078326,0.6808972778388301,0.03482676564062317,0.10281191742525264,0.9596359636634588,0.3192895881544506,0.3087691366672516
G_sgd_b128_s0,SGD,0.0,128,mlp_s,True,1.91517532862551,2.212768899256738,-0.9686380836693719,0.23610512556231195,0.13117915391921997,0.10376070558735657,0.0001
G_sgd_b2048_s0,SGD,0.0,2048,mlp_s,True,1.9971453611017553,2.0070556008726994,-0.9970690819168487,0.8695725270850301,0.0007551312446594238,0.023656786071020477,0.0001
G_sgd_b32_s0,SGD,0.0,32,mlp_s,True,1.916710878899427,2.7656359346678734,-0.08361085780898861,0.3645047159566615,0.6604335606098175,0.3201563966753633,0.0001
G_sgd_b512_s0,SGD,0.0,512,mlp_s,True,1.9741543831332482,2.058791621462094,-0.9918487684937038,0.5647337321466743,0.03128784894943237,0.05236107759890559,0.0001
G_sgd_b8_s0,SGD,0.0,8,mlp_s,True,1.8471383194018534,2.7737435305371743,-0.43416073001863553,0.2665728509661315,0.9424278438091278,0.2927835642542675,0.0001
G_sgdm_b128_s0,SGD-Momentum,0.9,128,mlp_s,True,1.473081537482033,1.5074840632387836,-0.06741229515120037,0.017600297693927278,0.10810881853103638,0.11879126780532283,0.5080935657024384
G_sgdm_b2048_s0,SGD-Momentum,0.9,2048,mlp_s,True,1.9996687234204227,1.9982835072550769,-0.9993161351988851,0.0003227983977500435,1e-06,0.0018596336057285323,0.28227341175079346
G_sgdm_b32_s0,SGD-Momentum,0.9,32,mlp_s,True,0.6164478738401489,0.5372631235518617,0.2803242310505787,0.037967711985660534,0.8763806857168674,0.20417306446957081,0.5765783786773682
G_sgdm_b512_s0,SGD-Momentum,0.9,512,mlp_s,True,1.9784046043287202,2.0151301263246517,-0.891517540832296,0.01243114101738153,0.022690027952194214,0.051423212844072246,0.4739561975002289
G_sgdm_b8_s0,SGD-Momentum,0.9,8,mlp_s,True,0.29434957487110275,0.32930834246995666,0.16073196839808226,0.033211634397291134,0.9672447629272938,0.3231458058519832,0.605952262878418
