cell,optn,beta,batch,arch,stationary,gbs,kspec,r1,step_top,u_rot,cv_lam,sg_mis
A2_adam_b2048_s0,Adam,0.9,2048,mlp_l,True,2.0211458105899176,0.2755944667202293,-0.44067914034305683,2.562541640010714e-05,0.09706676006317139,6.136002372009122,0.04181602597236633
A2_adam_b2048_s1,Adam,0.9,2048,mlp_l,True,2.0274195999141686,0.31191809120148417,-0.4106435415214086,2.1196237304219388e-05,0.1034197211265564,7.14816825173107,0.04093557596206665
A2_b2048_beta0.9_s0,SGD-Momentum,0.9,2048,mlp_l,True,0.15451630705672886,1.5838103276995883,-0.902738507534992,0.00203354524260005,1e-06,0.0021000932486412056,0.3837679326534271
A2_b2048_beta0.9_s1,SGD-Momentum,0.9,2048,mlp_l,True,0.45805767805447684,1.7580222344009357,-0.957428117073364,0.015917166503407486,1e-06,0.00223662727960708,0.5193863809108734
A_adam_b2048_s0,Adam,0.9,2048,mlp_l,True,1.9086235796908588,0.2898667477040909,-0.513819467549397,1.0090612140171492e-05,0.09516051411628723,3.569574930555147,0.08064925670623779
A_adam_b2048_s1,Adam,0.9,2048,mlp_l,True,1.8980934809927317,0.2369308785456249,-0.49292139938942564,7.960002347650686e-06,0.08325299620628357,5.004091711901571,0.08081045746803284
A_adam_b8_s0,Adam,0.9,8,mlp_l,False,0.4028342987157759,0.3054993906855351,0.039980126408661915,5.71136497415713e-07,0.9995131773612229,2.5331925484042843,0.770029678940773
A_adam_b8_s1,Adam,0.9,8,mlp_l,False,0.38092520923001516,0.3943726474974771,0.015245237788684753,7.19111813035998e-07,0.9993716186727397,3.1045048360435685,0.7590261995792389
A_b2048_beta0.9_s0,SGD-Momentum,0.9,2048,mlp_l,True,0.03902492490454041,1.5598475128053568,-0.8532753470959831,0.000284714719277622,1e-06,0.014838427898681159,0.17743277549743652
A_b2048_beta0.9_s1,SGD-Momentum,0.9,2048,mlp_l,True,0.11551512575371528,1.695871794531608,-0.9476852904980471,0.0028285372445823816,1e-06,0.01735999123297947,0.31677746772766113
A_b32_beta0.9_s0,SGD-Momentum,0.9,32,mlp_l,True,0.24900130253424194,0.3095833717428401,0.13986102637139422,0.029495322650655215,0.9048724509775639,0.20883854875262559,0.5930541902780533
