cell,optn,beta,batch,lr,kB_late,kfull,gap,gap_pred,gap_x_mem,mem,drift_late,gbs_med,kappa_spec,r1_dxu,death_step,healthy_frac,stationary,diverged,ok,why
CB_hb03_b8_s0,SGD-Momentum,0.3,8,0.008,2.101309814453125,0.6553928833007813,1.4459169311523437,1.4,2.0655956159319198,1.4285714285714286,0.012553443233925599,1.357057817533461,2.036927816209982,-0.24745724716738032,,1.0,True,False,True,
CB_hb08_b8_s0,SGD-Momentum,0.8,8,0.003,0.6438042526245117,0.1868701686859131,0.4569340839385986,0.3999999999999999,2.2846704196929934,5.000000000000001,-0.020508078598689417,0.48895670740456254,0.6223874329466387,0.12333125665055553,,1.0,True,False,True,
CB_hb095_b8_s0,SGD-Momentum,0.95,8,0.001,0.17140609741210938,0.04215975189208984,0.12924634552001954,0.10000000000000009,2.5849269104003887,19.999999999999982,-0.05352318641837994,0.19515399874824227,0.16667220094589563,0.1851344005994702,,1.0,True,False,True,
CB_sgd_b16_s0,SGD,0.0,16,0.01,3.0761494445800786,1.5199373626708985,1.55621208190918,nan,1.55621208190918,1.0,0.029435166864691498,2.0045234239460887,3.050636697337551,-0.727558073059483,,1.0,True,False,True,
CB_hb05_b16_s0,SGD-Momentum,0.5,16,0.006,2.0814590148925785,1.105310577392578,0.9761484375000005,1.0,1.952296875000001,2.0,0.029256864769632962,1.2643493419767367,1.8915981823336236,-0.25027169191006665,,1.0,True,False,True,
CB_hb09_b16_s0,SGD-Momentum,0.9,16,0.003,0.4306295471191406,0.1758204460144043,0.2548091011047363,0.19999999999999996,2.548091011047364,10.000000000000002,-0.03574635759559752,0.4159097280781733,0.40376650356805477,0.22184377950376497,,1.0,True,False,True,
CB_hb097_b16_s0,SGD-Momentum,0.97,16,0.0008,0.13335740966796875,0.05700251159667969,0.07635489807128906,0.06000000000000005,2.5451632690429666,33.33333333333331,-0.027245635360705123,0.2673208266501678,0.125184300513798,0.2885728019242501,,1.0,True,False,True,
CB_nest_b16_s0,SGD-Nesterov,0.9,16,0.003,0.518395133972168,0.24276728439331055,0.27562784957885744,0.19999999999999996,2.756278495788575,10.000000000000002,-0.03526079168828555,0.5942112883856135,0.9268645975943036,-0.07253013591194384,,1.0,True,False,True,
CB_muon095_b16_s0,Muon,0.95,16,0.001,0.20804429626464843,0.16114147186279298,0.04690282440185545,0.10000000000000009,0.9380564880371081,19.999999999999982,0.03562114807776595,0.1779092763107621,0.21294478828060223,0.3164953632209923,,1.0,True,False,True,
CB_muon09_b16_s0,Muon,0.9,16,0.001,0.20812776947021486,0.1443619613647461,0.06376580810546875,0.19999999999999996,0.6376580810546877,10.000000000000002,-0.14327638806179954,0.2458108954298533,0.31109183852469885,0.17408060749695414,,1.0,False,False,True,
