cell,optn,beta,batch,lr,steps_measured,status,diverged,n_window,kappa_raw,r1_dxu,omega_star_over_pi,gain,kappa_spec,kappa_spec_ci_lo,kappa_spec_ci_hi,kappa_drift,stationary,res_limited,kappa_spec_fixed,kappa_spec_h1,kappa_spec_h2,gbs_med,gbs_q25,gbs_q75,gbs_mean,gbs_n,gbs_over_kspec,death_step,healthy_frac,n_healthy,kappa_spec_fullwin,gbs_med_fullwin,halves_agree,ok,why
G_sgd_b2048_s0,SGD,0.0,2048,0.01,16000,done,False,12000,2.0070556640625,-0.9970690819168487,0.9903174593085442,0.9999999685161693,2.0070556008726994,2.007055584702252,2.007055629703177,-0.016436872731214414,True,False,2.007055624625763,2.0070556004218427,2.007055620099093,1.9971453611017553,1.9729962470478422,2.023253541407013,1.999283355642107,12000,0.9950622993370811,,1.0,12000,2.0070556008726994,1.9971453611017553,True,True,
G_sgdm_b2048_s0,SGD-Momentum,0.9,2048,0.0065,16000,done,False,2517,3.795835754394531,-0.9993161351988851,0.9938084591953518,0.5264409833701618,1.9982835072550769,1.9904190035881444,2.0022293037828782,0.000896818130678545,True,False,1.9983018102029104,1.9984326666328234,1.994932836746886,1.9996687234204227,1.9675670017296407,2.016005312906521,1.9789552967012174,2515,1.0006932030216515,6517,0.2265,2515,2.00576224736666,0.34589484061443154,True,True,
G_nest_b2048_s0,SGD-Nesterov,0.9,2048,0.0065,16000,done,False,12000,1.3571946144104003,-0.9996163647439678,0.9951404294948428,1.4759793298852975,2.003191197501397,1.9998796970220631,2.0052915797186928,-0.0010128414689553056,True,False,2.0003115555562623,2.003218925383579,2.00003501405189,1.9998270827316333,1.9996311593898601,2.0002333563061168,1.9994523133323359,12000,0.9983206222281927,,1.0,12000,2.003191197501397,1.9998270827316333,True,True,
G_adam_b2048_s0,Adam,0.9,2048,0.001,16000,done,False,12000,34.18680859375,-0.9589469499704988,0.9672590258301532,0.05680914962222527,1.9421235245087205,1.936370922996992,1.945248031560751,0.03409386909169143,True,False,1.998835107693438,1.947835207537801,1.9329437050163438,2.0540733698404683,1.8135076715376317,2.277860844874078,2.178126932618222,12000,1.0576430097874783,,1.0,12000,1.9421235245087205,2.0540733698404683,True,True,
G_muon_b2048_s0,Muon,0.95,2048,0.001,16000,done,False,12000,0.12337686157226563,-0.5991764997008433,0.6679121635088363,10.805461868363105,1.3331439731574297,1.1930618162773605,1.6915282580822297,-0.46424816324549956,False,False,1.3894079260341585,1.136278660386569,1.8818917435216609,2.0024925120185806,1.7425606420233497,2.3580567779096717,2.097012763886905,12000,1.5020827099985758,,1.0,12000,1.3331439731574297,2.0024925120185806,False,True,
G_sgd_b512_s0,SGD,0.0,512,0.01,16000,done,False,12000,2.0587916564941406,-0.9918487684937038,0.9805366257206194,0.9999999829841711,2.058791621462094,2.0587915839439948,2.0587916514985602,-0.01720267370620021,True,False,2.0587916184535957,2.0587916307105294,2.0587915939863595,1.9741543831332482,1.881885135623795,2.0604510495405695,1.963632117818126,12000,0.9588898471090829,,1.0,12000,2.058791621462094,1.9741543831332482,True,True,
G_sgdm_b512_s0,SGD-Momentum,0.9,512,0.008,16000,done,False,3490,3.6698359375000003,-0.891517540832296,0.8586114495757157,0.549106325362713,2.0151301263246517,2.0022300496938055,2.0231277577510305,0.00504295283478573,True,False,1.9837314322645876,2.0187347688127146,2.0060297522451096,1.9784046043287202,1.7898981565139525,2.1765893978639443,2.0087249088559163,3471,0.9817751114351537,7490,0.3124166666666667,3471,2.0145240616240008,2.363491538556513,True,True,
G_nest_b512_s0,SGD-Nesterov,0.9,512,0.008,16000,done,False,8996,1.3916736450195313,-0.989130911835864,0.9780784091492813,1.4879718165458704,2.0707711616187248,2.0656139424034885,2.0751676967276387,-0.0024214233594729295,True,False,2.0509697605586577,2.0707937200651223,2.066117131483834,1.9397665538205402,1.8103802615768219,2.053478089103387,1.9167273259115702,8982,0.9367363182246665,12996,0.7725,8982,2.0708998333091477,1.8616600210571488,True,True,
G_adam_b512_s0,Adam,0.9,512,0.001,16000,done,False,12000,33.351607421875,-0.9497290513488164,0.9655115840559813,0.05872559930359292,1.958593133587767,1.951359555287933,1.963219428087465,0.013663698466529928,True,False,1.9698148666353676,1.964625831654607,1.9488690266833217,2.02224587737046,1.8559935930411202,2.195661700908231,2.044073722752621,12000,1.0324992172652487,,1.0,12000,1.958593133587767,2.02224587737046,True,True,
G_muon_b512_s0,Muon,0.95,512,0.001,16000,done,False,12000,0.13742621612548828,-0.8964228588846485,0.8671825765433144,12.946549749965827,1.77919534401819,1.6553049353611147,2.0333927635185662,-0.2608169299142261,False,False,1.7048639484300845,1.57764537114849,2.0979794881739693,1.5874449349533046,1.4534775535360995,1.731985913538606,1.6032093662838363,12000,0.892226331577605,,1.0,12000,1.77919534401819,1.5874449349533046,False,True,
G_sgd_b128_s0,SGD,0.0,128,0.01,20000,done,False,15000,2.2127689361572265,-0.9686380836693719,0.9526707578710251,0.9999999833238401,2.212768899256738,2.212768852496554,2.212768963058643,-0.008037157168530928,True,False,2.212768851204812,2.2127688771305234,2.212768958335368,1.91517532862551,1.6996088985080973,2.1145262169300225,1.8987405690301045,15000,0.8655107766874396,,1.0,15000,2.212768899256738,1.91517532862551,True,True,
G_sgdm_b128_s0,SGD-Momentum,0.9,128,0.006,20000,done,False,9548,2.1053600463867186,-0.06741229515120037,0.5483987992671793,0.7160219772508614,1.5074840632387836,1.4949837130716879,1.5276835053516407,1.80264047644485e-05,True,False,1.5133157652360358,1.5075607254135464,1.5031510111968862,1.473081537482033,1.247612820026713,1.7426947602257576,1.5576097401073377,9365,0.9771788461346398,14548,0.652,9365,1.5140047318532215,1.530233398944398,True,True,
G_nest_b128_s0,SGD-Nesterov,0.9,128,0.006,20000,done,False,13813,1.4665685119628906,-0.9454435900342576,0.9525802113538405,1.513746911199958,2.220013555046944,2.218301268196761,2.225601414298978,0.005158035220594659,True,False,2.1647199476856613,2.2204128901385713,2.2213358128544236,1.754428020719026,1.4782200746982204,2.0151303648487526,1.7478021071453316,13596,0.7902780668751038,18813,0.9262666666666667,13596,2.2198854998200983,1.7218334150011485,True,True,
G_adam_b128_s0,Adam,0.9,128,0.001,20000,done,False,15000,17.4659560546875,-0.04688259145659762,0.5258472187239757,0.06759331293630012,1.1805818333361582,1.178402661341811,1.1887057638080996,-0.07650673964417554,True,False,1.4472925321233368,1.177153867798452,1.1865773734843885,1.3380780359953115,1.1903603053072929,1.5169397946029886,1.3770431813033779,15000,1.1334055786832593,,1.0,15000,1.1805818333361582,1.3380780359953115,True,True,
G_muon_b128_s0,Muon,0.95,128,0.001,20000,done,False,15000,0.17795941162109374,-0.3611277036914669,0.645437329763961,7.12012038322759,1.2670924340705385,1.2099197886430413,1.3643712948679794,0.056927069255792606,True,False,1.1748851258454187,1.1547092551700409,1.3724418010905126,0.5631093742094748,0.497055817439901,0.6474984834283193,0.5755165851460771,14999,0.44441065155798,,0.9999333333333333,14999,1.2670924340705385,0.5630772137997184,True,True,
G_sgd_b32_s0,SGD,0.0,32,0.01,15263,diverged,True,7263,2.765635986328125,-0.08361085780898861,0.9180800853058586,0.9999999813206611,2.7656359346678734,2.7656358872842057,2.7656359556842114,0.011969057064941557,True,False,2.7656359323056825,2.765635940664389,2.7656359359375338,1.916710878899427,1.5888805963795725,2.3172221782072278,1.9875196946869942,7263,0.6930452612627069,,1.0,7263,2.7656359346678734,1.916710878899427,True,True,
G_sgdm_b32_s0,SGD-Momentum,0.9,32,0.005,30000,done,False,22000,0.6195130920410157,0.2803242310505787,0.3974293431468139,0.8672344950480748,0.5372631235518617,0.5372205557204847,0.550135874195069,-0.04752801523376082,True,False,0.8386154816958513,0.5354256484553397,0.5522243971013384,0.6164478738401489,0.5251899410888958,0.7459860529279091,0.6787175817600325,21999,1.1473854184608736,,0.9999545454545454,21999,0.5372631235518617,0.6164585152887856,True,True,
G_nest_b32_s0,SGD-Nesterov,0.9,32,0.005,30000,done,False,22000,0.8698368453979493,-0.293255152593113,0.6318930673167239,1.6927330487249745,1.472401575203785,1.4632415100757965,1.4817676685179835,-0.019982168182558935,True,False,1.384617394818076,1.4723460358272462,1.4731985201150137,0.8497251433841131,0.7256145485044122,1.011082258288584,0.8895232265800236,22000,0.5771014903094684,,1.0,22000,1.472401575203785,0.8497251433841131,True,True,
G_adam_b32_s0,Adam,0.9,32,0.001,30000,done,False,22000,8.500716796875,0.16971491409741926,0.4486746704982324,0.08068890395688537,0.6859135211877292,0.6687712363536804,0.6985671620226499,0.03820166055570495,True,False,1.1526843896338885,0.7037292630550612,0.6547961485145984,0.6002182427171625,0.5080154056872592,0.7213787382355085,0.6348734522807373,22000,0.8750640192626957,,1.0,22000,0.6859135211877292,0.6002182427171625,True,True,
G_muon_b32_s0,Muon,0.95,32,0.001,30000,done,False,22000,0.18379705047607423,0.23512488875541704,0.40488374456367915,2.0422106371085005,0.37535229155140676,0.3688713603392354,0.38419754556850044,0.12982619949954688,False,False,0.4091670531619988,0.3646091693045303,0.3861685910162196,0.24717552233659842,0.22707605905065872,0.26899818982707296,0.24914383187391684,22000,0.6585160871536767,,1.0,22000,0.37535229155140676,0.24717552233659842,True,True,
G_sgd_b8_s0,SGD,0.0,8,0.01,30000,done,False,22000,2.7737435913085937,-0.43416073001863553,0.6771196742166399,0.9999999780904696,2.7737435305371743,2.7737435083702624,2.773743549032346,0.028624883214753316,True,False,2.7737435052476194,2.7737435323147324,2.7737435212267987,1.8471383194018534,1.4818033253121947,2.332668134075649,1.9739494320888942,22000,0.6659369545403245,,1.0,22000,2.7737435305371743,1.8471383194018534,True,True,
G_sgdm_b8_s0,SGD-Momentum,0.9,8,0.002,30000,done,False,22000,0.3426868896484375,0.16073196839808226,0.45656866434444626,0.9609598511568216,0.32930834246995666,0.3291673328861222,0.33269546231542296,-0.05714452723577457,True,False,0.528237183091911,0.3287798764010718,0.33213166194052135,0.29434957487110275,0.23826709701176052,0.3676018029356848,0.31884527276681385,22000,0.8938418403352679,,1.0,22000,0.32930834246995666,0.29434957487110275,True,True,
G_nest_b8_s0,SGD-Nesterov,0.9,8,0.002,30000,done,False,22000,0.3748651580810547,0.03482676564062317,0.49419901023168067,1.816379205056993,0.6808972778388301,0.677973917844993,0.6858168944502858,-0.06809419649010062,True,False,0.7279420928079711,0.6790369482846281,0.6864175564062746,0.4554932705078326,0.36382716154856365,0.5806353744733785,0.49290746589129203,22000,0.6689603341543229,,1.0,22000,0.6808972778388301,0.4554932705078326,True,True,
G_adam_b8_s0,Adam,0.9,8,0.001,30000,done,False,22000,5.07897119140625,0.18786921762824307,0.4517578341040707,0.07616470885273914,0.3868383620649067,0.3581759064814517,0.4048700879603334,0.22766029523575826,False,False,0.6848946772268395,0.4080108505000439,0.35799287001206415,0.40612428742524714,0.2959147549917749,0.5678958834804251,0.46082260633100114,22000,1.0498552554544849,,1.0,22000,0.3868383620649067,0.40612428742524714,True,True,
G_muon_b8_s0,Muon,0.95,8,0.001,30000,done,False,22000,0.2589246063232422,0.2589193823009944,0.4113290380595501,0.5076945461207136,0.1314546104867629,0.12891939687264378,0.13522940971228303,-0.009786299975345414,True,False,0.14616772570048522,0.1273073655633876,0.13609032355545048,0.13247324566603266,0.12121717170369188,0.1454696616442872,0.1343512223132757,22000,1.0077489498123942,,1.0,22000,0.1314546104867629,0.13247324566603266,True,True,
