cell,optn,beta,batch,lr,steps_measured,status,diverged,n_window,kappa_raw,r1_dxu,omega_star_over_pi,gain,kappa_spec,kappa_spec_ci_lo,kappa_spec_ci_hi,kappa_drift,stationary,res_limited,kappa_spec_fixed,kappa_spec_h1,kappa_spec_h2,gbs_med,gbs_q25,gbs_q75,gbs_mean,gbs_n,gbs_over_kspec,death_step,healthy_frac,n_healthy,kappa_spec_fullwin,gbs_med_fullwin,halves_agree,ok,why
L_adam05_b2048_s0,Adam,0.5,2048,0.001,16000,done,False,12000,5.502602294921875,-0.7714670262668731,0.7416552178868634,0.1028059845594355,0.5657004465684526,0.4871698711837682,0.6362217674984654,-0.009613571180009717,True,False,0.9867929937200642,0.5999278011249912,0.4855432309410802,1.8210607992922458,0.3703567223752109,2.1651165218199404,1.4721692080448516,11999,3.219125617345413,,0.9999166666666667,11999,0.5657004465684526,1.820819083007132,True,True,
L_adam05_b2048_s1,Adam,0.5,2048,0.001,16000,done,False,12000,5.53375244140625,-0.7545763430749123,0.7068695047808838,0.08708308120064287,0.4818962131992362,0.39180250953593343,0.5844416010526665,-0.024861670536940994,True,False,0.5846620774155837,0.5211593191572852,0.40929119162118305,1.8199381563932815,0.4230612458481128,2.1755123087267063,1.4046932712393572,12000,3.7766185052814314,,1.0,12000,0.4818962131992362,1.8199381563932815,True,True,
L_adam_b128_s0,Adam,0.9,128,0.001,20000,done,False,15000,17.4659560546875,-0.04688259145659762,0.5258472187239757,0.06759331293630012,1.1805818333361582,1.178402661341811,1.1887057638080996,-0.07650673964417554,True,False,1.4472925321233368,1.177153867798452,1.1865773734843885,1.3380780359953115,1.1903603053072929,1.5169397946029886,1.3770431813033779,15000,1.1334055786832593,,1.0,15000,1.1805818333361582,1.3380780359953115,True,True,
L_adam_b128_s1,Adam,0.9,128,0.001,20000,done,False,15000,17.458698242187502,-0.05018020056426847,0.5276141978762124,0.06768870023333229,1.181756591779635,1.179402811303935,1.188328641463687,-0.0785276974890704,True,False,1.4940579836820245,1.181133717919638,1.187312461625146,1.3365980645596989,1.1883086694036655,1.5125553224856347,1.378496159426104,15000,1.1310265361387868,,1.0,15000,1.181756591779635,1.3365980645596989,True,True,
L_adam_b2048_s0,Adam,0.9,2048,0.001,16000,done,False,12000,34.18680859375,-0.9589469499704988,0.9672590258301532,0.05680914962222527,1.9421235245087205,1.936370922996992,1.945248031560751,0.03409386909169143,True,False,1.998835107693438,1.947835207537801,1.9329437050163438,2.0540733698404683,1.8135076715376317,2.277860844874078,2.178126932618222,12000,1.0576430097874783,,1.0,12000,1.9421235245087205,2.0540733698404683,True,True,
L_adam_b2048_s1,Adam,0.9,2048,0.001,16000,done,False,12000,34.150062500000004,-0.9563679120522959,0.9661863171379287,0.05675577888678131,1.938213396219762,1.9332302562160706,1.941367967419787,0.03590355088830122,True,False,1.9977433442219836,1.943302230186786,1.9301608657491807,2.052255679127395,1.8216634826575246,2.2784627776510917,2.0857591455541,12000,1.0588388683774748,,1.0,12000,1.938213396219762,2.052255679127395,True,True,
L_adam_b2048_s2,Adam,0.9,2048,0.001,16000,done,False,12000,34.16208203125,-0.9590006929303712,0.9678780645323249,0.05679116890993442,1.9401045709517546,1.9348478750721532,1.9433718233256907,0.03320843752158953,True,False,2.0262928062538257,1.9452386903771441,1.9319099432959685,2.049148737074346,1.8209951030675102,2.270675116388825,2.158792271421168,12000,1.0562053034435654,,1.0,12000,1.9401045709517546,2.049148737074346,True,True,
L_adam_b2048_s3,Adam,0.9,2048,0.001,16000,done,False,12000,34.16433203125,-0.9602157327210292,0.9676138422370034,0.056787226741834805,1.9400976695419234,1.9344941336021253,1.9431745162876908,0.03638922036078296,True,False,2.019069640796703,1.9452405961139771,1.9315209393837136,2.05619317090733,1.816535087602775,2.2728690087221866,2.0815528004145185,12000,1.0598400292871946,,1.0,12000,1.9400976695419234,2.05619317090733,True,True,
L_adam_b2048_s4,Adam,0.9,2048,0.001,16000,done,False,12000,34.09822265625,-0.956124457025135,0.9664279400180888,0.05677963610762064,1.9360846743385007,1.9299027541323264,1.939103310258721,0.04091408961126075,True,False,2.0103589499166485,1.941533071768381,1.926258791175066,2.0504403873276855,1.8174370290691078,2.2788436447542946,2.1063620305694317,12000,1.0590654502382528,,1.0,12000,1.9360846743385007,2.0504403873276855,True,True,
L_adam_b8_s0,Adam,0.9,8,0.001,30000,done,False,22000,5.07897119140625,0.18786921762824307,0.4517578341040707,0.07616470885273914,0.3868383620649067,0.3581759064814517,0.4048700879603334,0.22766029523575826,False,False,0.6848946772268395,0.4080108505000439,0.35799287001206415,0.40612428742524714,0.2959147549917749,0.5678958834804251,0.46082260633100114,22000,1.0498552554544849,,1.0,22000,0.3868383620649067,0.40612428742524714,True,True,
L_adam_b8_s1,Adam,0.9,8,0.001,30000,done,False,22000,5.1533837890625005,0.18736309173654936,0.45016599853861566,0.07764460400959029,0.4001324436111998,0.37813766099198715,0.4145749415937316,0.19391286502642635,False,False,0.6822391536458303,0.4215758692482901,0.3754990141252901,0.41215432464917434,0.30170047552589063,0.5730726345073885,0.4580455911002653,22000,1.0300447545054756,,1.0,22000,0.4001324436111998,0.41215432464917434,True,True,
L_b128_beta0.9_s0,SGD-Momentum,0.9,128,0.006,20000,done,False,9548,2.1053600463867186,-0.06741229515120037,0.5483987992671793,0.7160219772508614,1.5074840632387836,1.4949837130716879,1.5276835053516407,1.80264047644485e-05,True,False,1.5133157652360358,1.5075607254135464,1.5031510111968862,1.473081537482033,1.247612820026713,1.7426947602257576,1.5576097401073377,9365,0.9771788461346398,14548,0.652,9365,1.5140047318532215,1.530233398944398,True,True,
L_b128_beta0.9_s1,SGD-Momentum,0.9,128,0.006,20000,done,False,10941,2.1604127197265623,-0.09932582111678177,0.5543683918172778,0.7066591711204084,1.52667546179996,1.5121224726214306,1.5517156844652884,0.0023126211204356206,True,False,1.5316447530509312,1.5266933223449124,1.5120133439789727,1.4840324012270116,1.2612360587783695,1.7506719506518353,1.5698485566884124,10690,0.9720680251697554,15941,0.7222,10690,1.5401859480799664,1.5285993652134564,True,True,
