tag,optn,batch,beta,margin,budget,c_onset_lo,c_onset_hi,c_death,death_lower_bound,r1,decoh,offpi,cv2h,kappa_raw,kappa_spec,gain,onset_death_unresolved,budget_artifact
L_adam05_b2048_s0,Adam,2048,0.5,nan,nan,1.3,nan,nan,True,-0.7714670262668731,0.22853297373312687,0.30388616910441646,nan,5.502602294921875,0.5657004465684526,0.1028059845594355,False,False
L_adam_b128_s0,Adam,128,0.9,0.6431676725154984,nan,1.5,1.8,nan,True,-0.04688259145659762,0.9531174085434024,0.8392493109254389,nan,17.4659560546875,1.1805818333361582,0.06759331293630012,False,False
L_adam_b128_s1,Adam,128,0.9,nan,nan,1.3,nan,nan,True,-0.05018020056426847,0.9498197994357316,0.8459707214959776,nan,17.458698242187502,1.181756591779635,0.06768870023333229,False,False
L_adam_b2048_s0,Adam,2048,0.9,0.22474487139158894,nan,1.2,1.25,nan,True,-0.9589469499704988,0.041053050029501215,0.025547594745258584,nan,34.18680859375,1.9421235245087205,0.05680914962222527,False,False
L_adam_b2048_s1,Adam,2048,0.9,0.2227019260637484,nan,1.15,1.3,nan,True,-0.9563679120522959,0.04363208794770412,0.02771891955631156,nan,34.150062500000004,1.938213396219762,0.05675577888678131,False,False
L_b128_beta0.9_s0,SGD-Momentum,128,0.9,0.14891252930760568,nan,1.1,1.2,nan,True,-0.06741192676432828,0.9325880732356717,0.9208863421917948,0.014680165797472,2.1067423095703126,1.5140047318532215,0.7186473281404859,False,False
L_b128_beta0.9_s1,SGD-Momentum,128,0.9,0.14891252930760568,nan,1.1,1.2,nan,True,-0.09932556268933114,0.9006744373106689,0.930523070913093,0.014952361583709717,2.162304016113281,1.5401859480799664,0.7122892695026458,False,False
L_b2048_beta0.9_s0,SGD-Momentum,2048,0.9,0.02469507659595993,1.122285083890813,1.0,1.05,1.15,False,-0.999433871436339,0.0005661285636610058,3.628364912966475e-07,nan,3.8123148651123047,2.00576224736666,0.526127121797316,False,False
L_b2048_beta0.9_s1,SGD-Momentum,2048,0.9,0.02469507659595993,1.122285083890813,1.0,1.05,1.15,False,-0.9984332645863442,0.0015667354136558176,8.24376536123772e-06,nan,3.766077941894531,1.9811090842357861,0.5260403833382127,False,False
L_b32_beta0.9_s0,SGD-Momentum,32,0.9,0.14891252930760568,1.3926212476455828,1.1,1.2,1.6,False,0.2803242310505787,0.7196757689494213,0.8533970000867499,0.08604654669761658,0.6195130920410157,0.5372631235518617,0.8672344950480748,False,False
L_b32_beta0.9_s1,SGD-Momentum,32,0.9,0.09886304879179564,nan,1.05,1.15,nan,True,0.31748810769407326,0.6825118923059268,0.8621312983040597,0.07160965353250504,0.6250809860229493,0.5458391416959012,0.8732294757016673,False,False
L_b512_beta0.9_s0,SGD-Momentum,512,0.9,0.02469507659595993,1.122285083890813,1.0,1.05,1.15,False,-0.8915156939250106,0.10848430607498938,0.009874590974015107,0.0025454473216086626,3.6662891845703127,2.0145240616240008,0.5494722211499805,False,False
L_b512_beta0.9_s1,SGD-Momentum,512,0.9,0.02469507659595993,1.122285083890813,1.0,1.05,1.15,False,-0.8804365220410372,0.11956347795896283,0.02352296059129677,0.0029754384886473417,3.652816162109375,2.007786439147982,0.5496543899402139,False,False
L_b64_beta0.9_s0,SGD-Momentum,64,0.9,0.02469507659595993,nan,1.0,1.05,nan,True,0.32737378409062523,0.6726262159093748,0.8998338735360487,nan,1.184851364135742,1.0345472529289577,0.873145176047951,False,False
L_b64_beta0.9_s1,SGD-Momentum,64,0.9,0.09886304879179564,nan,1.05,1.15,nan,True,0.31856901362795037,0.6814309863720496,0.9187082904854855,nan,1.2034070243835449,1.0510575363789876,0.8734015300578791,False,False
L_b8_beta0.99_s0,SGD-Momentum,8,0.99,0.6431676725154984,nan,1.5,1.8,nan,True,0.246355910115009,0.753644089884991,0.82127447266863,0.3694544732570648,0.033625682067871095,0.03318758699100838,0.9869714144094252,False,False
L_b8_beta0.99_s1,SGD-Momentum,8,0.99,nan,nan,1.8,nan,nan,True,0.2537013157250891,0.7462986842749109,0.8224265721567825,0.28000521659851074,0.03350452117919922,0.032383407089337846,0.9665384237588387,False,False
L_b8_beta0.9_s0,SGD-Momentum,8,0.9,nan,nan,1.22,1.3,1.3,False,0.16073196839808226,0.8392680316019178,0.7983505884229957,0.7421642541885376,0.3426868896484375,0.32930834246995666,0.9609598511568216,True,False
L_b8_beta0.9_s1,SGD-Momentum,8,0.9,nan,nan,1.3,1.35,1.35,False,0.1698696163816712,0.8301303836183288,0.796164808587206,0.36827409267425537,0.34442973327636717,0.3296619112068872,0.9571238466290295,True,False
L_nest_b128_beta0.9_s0,SGD-Nesterov,128,0.9,0.04880884817015163,1.1918282365569903,1.0,1.1,1.25,False,-0.9454434695267022,0.05455653047329778,0.029503972872786388,0.01295765396207571,1.4664839172363282,2.2198854998200983,1.5137469110493882,False,False
L_nest_b128_beta0.9_s1,SGD-Nesterov,128,0.9,0.04880884817015163,1.1918282365569903,1.0,1.1,1.25,False,-0.9254427509936195,0.0745572490063805,0.0547738493360288,0.013788054697215557,1.4562950134277344,2.205961032228408,1.5147762039204937,False,False
