loss,arch,optimizer,batch_size,lr,max_step,source_folder,curvature_figure,bimodality_figure,bimodality_precond_figure,drift_figure
MSE,CNN,Adam,1024,3e-05,74999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260525_0127_22_Adam_lr3e-05_b1024_beta1-0.9_beta2-0.99,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/Adam/curvature_Adam_lr3e-05_b1024_beta1-0.9_beta2-0.99.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/Adam/histograms_Adam_lr3e-05_b1024_beta1-0.9_beta2-0.99.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/Adam/histograms_Adam_lr3e-05_b1024_beta1-0.9_beta2-0.99_precond.png,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/Adam/tangent_drift_Adam_lr3e-05_b1024_beta1-0.9_beta2-0.99.png
MSE,CNN,Adam,128,3e-05,74999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260524_1747_27_Adam_lr3e-05_b128_beta1-0.9_beta2-0.99,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/Adam/curvature_Adam_lr3e-05_b128_beta1-0.9_beta2-0.99.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/Adam/histograms_Adam_lr3e-05_b128_beta1-0.9_beta2-0.99.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/Adam/histograms_Adam_lr3e-05_b128_beta1-0.9_beta2-0.99_precond.png,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/Adam/tangent_drift_Adam_lr3e-05_b128_beta1-0.9_beta2-0.99.png
MSE,CNN,Adam,32,3e-05,74999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260524_1747_28_Adam_lr3e-05_b32_beta1-0.9_beta2-0.99,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/Adam/curvature_Adam_lr3e-05_b32_beta1-0.9_beta2-0.99.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/Adam/histograms_Adam_lr3e-05_b32_beta1-0.9_beta2-0.99.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/Adam/histograms_Adam_lr3e-05_b32_beta1-0.9_beta2-0.99_precond.png,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/Adam/tangent_drift_Adam_lr3e-05_b32_beta1-0.9_beta2-0.99.png
MSE,CNN,Adam,8192,3e-05,74319,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260525_1359_06_Adam_lr3e-05_b8192_beta1-0.9_beta2-0.99,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/Adam/curvature_Adam_lr3e-05_b8192_beta1-0.9_beta2-0.99.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/Adam/histograms_Adam_lr3e-05_b8192_beta1-0.9_beta2-0.99.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/Adam/histograms_Adam_lr3e-05_b8192_beta1-0.9_beta2-0.99_precond.png,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/Adam/tangent_drift_Adam_lr3e-05_b8192_beta1-0.9_beta2-0.99.png
MSE,CNN,Adam,8,3e-05,74999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260525_0120_29_Adam_lr3e-05_b8_beta1-0.9_beta2-0.99,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/Adam/curvature_Adam_lr3e-05_b8_beta1-0.9_beta2-0.99.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/Adam/histograms_Adam_lr3e-05_b8_beta1-0.9_beta2-0.99.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/Adam/histograms_Adam_lr3e-05_b8_beta1-0.9_beta2-0.99_precond.png,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/Adam/tangent_drift_Adam_lr3e-05_b8_beta1-0.9_beta2-0.99.png
MSE,CNN,Muon,1024,0.001,74999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260523_2359_50_Muon_lr0.001_b1024_momentum-0.9,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/Muon/curvature_Muon_lr0.001_b1024_momentum-0.9.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/Muon/histograms_Muon_lr0.001_b1024_momentum-0.9.png,,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/Muon/tangent_drift_Muon_lr0.001_b1024_momentum-0.9.png
MSE,CNN,Muon,128,0.001,74999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260523_2358_15_Muon_lr0.001_b128_momentum-0.9,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/Muon/curvature_Muon_lr0.001_b128_momentum-0.9.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/Muon/histograms_Muon_lr0.001_b128_momentum-0.9.png,,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/Muon/tangent_drift_Muon_lr0.001_b128_momentum-0.9.png
MSE,CNN,Muon,32,0.001,74999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260523_2359_25_Muon_lr0.001_b32_momentum-0.9,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/Muon/curvature_Muon_lr0.001_b32_momentum-0.9.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/Muon/histograms_Muon_lr0.001_b32_momentum-0.9.png,,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/Muon/tangent_drift_Muon_lr0.001_b32_momentum-0.9.png
MSE,CNN,Muon,8192,0.001,74999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260525_0428_49_Muon_lr0.001_b8192_momentum-0.9,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/Muon/curvature_Muon_lr0.001_b8192_momentum-0.9.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/Muon/histograms_Muon_lr0.001_b8192_momentum-0.9.png,,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/Muon/tangent_drift_Muon_lr0.001_b8192_momentum-0.9.png
MSE,CNN,Muon,8,0.001,74999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260523_2358_18_Muon_lr0.001_b8_momentum-0.9,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/Muon/curvature_Muon_lr0.001_b8_momentum-0.9.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/Muon/histograms_Muon_lr0.001_b8_momentum-0.9.png,,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/Muon/tangent_drift_Muon_lr0.001_b8_momentum-0.9.png
